symbol,price,market_regime,fundamental_score,technical_score,news_score,upcoming_earnings_days,earnings_event_score,market_trend_score,category_trend_score,total_score,action_stock,action_option,execution_timing,entry_price,target_price,stop_price,risk_reward,option_symbol_hint,option_expiry,option_strike,reason,trade_type,stock_instruction,option_instruction,brief_reason,strategy_bucket
XOM,173.05,bullish,0.2837,1.0779,0.143,31,0.0,-0.04,1.0,0.7952,BUY_STOCK,NO_OPTION,NOW,172.5309,181.1673,167.349,1.667,,,0.0,"gate(mcap=721058463744,avg_vol=21091210,price=173.05,vol20=1.40%,beta=0.35) | PE=25.8, margin=0.09, ROE=0.11, rev_growth=-0.01, debt_to_equity=18.9 | sma20=157.70, sma50=149.78, sma200=123.02, mom20=13.96%, rsi14=89.4, vol20=1.40% | headline_sentiment=0.36 weighted from 20 headlines | earnings_days=31, earnings_event_score=0.00, earnings_outlook_score=0.15, price_setup_score=0.50",STOCK_ONLY,"BUY 0 SHARES @ 172.53, SELL @ 181.17, STOP @ 167.35",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, positive news tone, category trend supportive (score 0.80, regime bullish)",DAILY_TRADING
CVX,211.995,bullish,0.1335,1.0965,-0.0322,31,0.0,-0.04,1.0,0.7172,BUY_STOCK,NO_OPTION,NOW,211.359,220.1719,206.0713,1.667,,,0.0,"gate(mcap=423852965888,avg_vol=12332432,price=211.99,vol20=1.26%,beta=0.66) | PE=32.0, margin=0.07, ROE=0.07, rev_growth=-0.08, debt_to_equity=24.3 | sma20=198.03, sma50=186.10, sma200=161.63, mom20=12.30%, rsi14=93.9, vol20=1.26% | headline_sentiment=-0.08 weighted from 20 headlines | earnings_days=31, earnings_event_score=0.00, earnings_outlook_score=0.17, price_setup_score=0.55",STOCK_ONLY,"BUY 0 SHARES @ 211.36, SELL @ 220.17, STOP @ 206.07",NO OPTIONS TRADE,"bullish setup; strong technical trend, category trend supportive (score 0.72, regime bullish)",DAILY_TRADING
VZ,50.36,bullish,0.235,0.5058,0.0745,9,0.5292,-0.04,-0.8827,0.4103,BUY_STOCK,NO_OPTION,NOW,50.2089,52.1968,49.0162,1.667,,,0.0,"gate(mcap=212402585600,avg_vol=31597718,price=50.36,vol20=0.97%,beta=0.28) | PE=12.4, margin=0.12, ROE=0.17, rev_growth=0.02, debt_to_equity=174.8 | sma20=50.60, sma50=47.53, sma200=43.26, mom20=-1.00%, rsi14=46.8, vol20=0.97% | headline_sentiment=0.19 weighted from 20 headlines | earnings_days=9, earnings_event_score=0.53, earnings_outlook_score=0.22, price_setup_score=0.91",STOCK_ONLY,"BUY 0 SHARES @ 50.21, SELL @ 52.20, STOP @ 49.02",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, category trend weak (score 0.41, regime bullish)",DAILY_TRADING
T,29.015,bullish,0.3952,0.3689,-0.0085,22,0.3876,-0.04,-0.8827,0.3862,BUY_STOCK,NO_OPTION,NOW,28.928,30.1376,28.2022,1.667,,,0.0,"gate(mcap=203121737728,avg_vol=44477611,price=29.01,vol20=1.46%,beta=0.58) | PE=9.5, margin=0.17, ROE=0.19, rev_growth=0.04, debt_to_equity=124.2 | sma20=28.26, sma50=27.21, sma200=26.88, mom20=1.20%, rsi14=68.3, vol20=1.46% | headline_sentiment=-0.02 weighted from 20 headlines | earnings_days=22, earnings_event_score=0.39, earnings_outlook_score=0.29, price_setup_score=0.81",STOCK_ONLY,"BUY 0 SHARES @ 28.93, SELL @ 30.14, STOP @ 28.20",NO OPTIONS TRADE,"bullish setup; solid fundamentals, category trend weak (score 0.39, regime bullish)",DAILY_TRADING
PFE,27.535,bullish,0.2467,0.2855,0.0335,35,0.0,-0.04,-0.8682,0.2579,BUY_STOCK,NO_OPTION,NOW,27.4524,28.7124,26.6964,1.667,,,0.0,"gate(mcap=156628893696,avg_vol=45343106,price=27.53,vol20=1.43%,beta=0.41) | PE=20.2, margin=0.12, ROE=0.09, rev_growth=-0.01, debt_to_equity=78.0 | sma20=27.02, sma50=26.84, sma200=25.40, mom20=3.59%, rsi14=54.2, vol20=1.43% | headline_sentiment=0.08 weighted from 20 headlines | earnings_days=35, earnings_event_score=0.00, earnings_outlook_score=0.22, price_setup_score=0.95",STOCK_ONLY,"BUY 0 SHARES @ 27.45, SELL @ 28.71, STOP @ 26.70",NO OPTIONS TRADE,"bullish setup; solid fundamentals, category trend weak (score 0.26, regime bullish)",DAILY_TRADING
WMT,123.91,bullish,0.1676,0.274,0.203,37,0.0,-0.04,-0.726,0.2579,BUY_STOCK,NO_OPTION,NOW,123.5383,128.6854,120.45,1.667,,,0.0,"gate(mcap=987860434944,avg_vol=31058015,price=123.91,vol20=1.33%,beta=0.66) | PE=45.4, margin=0.03, ROE=0.22, rev_growth=0.06, debt_to_equity=64.4 | sma20=123.78, sma50=124.15, sma200=108.81, mom20=-3.14%, rsi14=46.8, vol20=1.33% | headline_sentiment=0.51 weighted from 20 headlines | earnings_days=37, earnings_event_score=0.00, earnings_outlook_score=0.39, price_setup_score=0.56",STOCK_ONLY,"BUY 0 SHARES @ 123.54, SELL @ 128.69, STOP @ 120.45",NO OPTIONS TRADE,"bullish setup; positive news tone, category trend weak (score 0.26, regime bullish)",DAILY_TRADING
KO,76.785,bullish,0.3919,0.1015,0.018,0,0.0,-0.04,-0.726,0.2423,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=330494410752,avg_vol=17924930,price=76.79,vol20=0.96%,beta=0.33) | PE=25.3, margin=0.27, ROE=0.43, rev_growth=0.02, debt_to_equity=139.8 | sma20=76.68, sma50=76.80, sma200=71.22, mom20=-3.22%, rsi14=43.3, vol20=0.96% | headline_sentiment=0.05 weighted from 20 headlines | earnings_days=0, earnings_event_score=0.00, earnings_outlook_score=0.45, price_setup_score=0.52",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, category trend weak (score 0.24, regime bullish)",DAILY_TRADING
COST,998.27,bullish,0.2625,0.1122,0.1243,59,0.0,-0.04,-0.726,0.2113,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=443101511680,avg_vol=2252254,price=998.27,vol20=1.00%,beta=0.99) | PE=52.0, margin=0.03, ROE=0.30, rev_growth=0.09, debt_to_equity=26.0 | sma20=990.15, sma50=986.30, sma200=948.26, mom20=-0.94%, rsi14=50.5, vol20=1.00% | headline_sentiment=0.31 weighted from 20 headlines | earnings_days=59, earnings_event_score=0.00, earnings_outlook_score=0.72, price_setup_score=0.94",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, positive news tone, category trend weak (score 0.21, regime bullish)",DAILY_TRADING
NFLX,93.135,bullish,0.55,-0.301,0.1476,17,0.5499,-0.04,-0.8827,0.1862,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=395068375040,avg_vol=48441452,price=93.14,vol20=1.33%,beta=1.71) | PE=36.8, margin=0.24, ROE=0.43, rev_growth=0.18, debt_to_equity=63.8 | sma20=94.93, sma50=87.58, sma200=107.50, mom20=-4.67%, rsi14=37.1, vol20=1.33% | headline_sentiment=0.37 weighted from 20 headlines | earnings_days=17, earnings_event_score=0.55, earnings_outlook_score=0.95, price_setup_score=0.78",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, positive news tone, category trend weak (score 0.19, regime bullish)",DAILY_TRADING
AAPL,247.01,bullish,0.5187,-0.2824,0.061,31,0.0,-0.04,-0.784,0.122,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=3630534492160,avg_vol=46586027,price=247.01,vol20=1.01%,beta=1.12) | PE=31.2, margin=0.27, ROE=1.52, rev_growth=0.16, debt_to_equity=102.6 | sma20=254.49, sma50=260.06, sma200=248.29, mom20=-6.35%, rsi14=28.3, vol20=1.01% | headline_sentiment=0.15 weighted from 20 headlines | earnings_days=31, earnings_event_score=0.00, earnings_outlook_score=0.86, price_setup_score=0.31",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, category trend weak (score 0.12, regime bullish)",DAILY_TRADING
LLY,888.69,bullish,0.4935,-0.3192,0.0396,30,0.3031,-0.04,-0.8682,0.1158,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=795394244608,avg_vol=3071144,price=888.69,vol20=1.75%,beta=0.43) | PE=38.8, margin=0.32, ROE=1.01, rev_growth=0.43, debt_to_equity=165.3 | sma20=950.62, sma50=1004.35, sma200=896.08, mom20=-11.81%, rsi14=20.6, vol20=1.75% | headline_sentiment=0.10 weighted from 20 headlines | earnings_days=30, earnings_event_score=0.30, earnings_outlook_score=0.96, price_setup_score=0.20",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, category trend weak (score 0.12, regime bullish)",DAILY_TRADING
V,299.575,bullish,0.602,-0.6109,0.1072,29,0.35,-0.04,-0.655,0.0598,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=577592492032,avg_vol=7744538,price=299.58,vol20=1.20%,beta=0.79) | PE=28.2, margin=0.50, ROE=0.54, rev_growth=0.15, debt_to_equity=54.6 | sma20=308.21, sma50=317.38, sma200=337.37, mom20=-6.61%, rsi14=33.4, vol20=1.20% | headline_sentiment=0.27 weighted from 20 headlines | earnings_days=29, earnings_event_score=0.35, earnings_outlook_score=0.89, price_setup_score=0.37",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; weak technical trend, solid fundamentals, positive news tone, category trend weak (score 0.06, regime bullish)",DAILY_TRADING
JPM,284.955,bullish,0.2836,-0.3267,-0.0322,5,0.2981,-0.04,-0.655,0.0342,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=768532873216,avg_vol=10893884,price=284.95,vol20=1.14%,beta=1.06) | PE=14.2, margin=0.34, ROE=0.16, rev_growth=0.03, debt_to_equity=200.0 | sma20=289.38, sma50=299.74, sma200=302.00, mom20=-5.10%, rsi14=44.7, vol20=1.14% | headline_sentiment=-0.08 weighted from 20 headlines | earnings_days=5, earnings_event_score=0.30, earnings_outlook_score=0.24, price_setup_score=0.51",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, category trend weak (score 0.03, regime bullish)",DAILY_TRADING
AMZN,201.66,bullish,0.4462,-0.4554,0.0632,31,0.0,-0.04,-0.8082,0.0136,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=2164750417920,avg_vol=48889476,price=201.66,vol20=1.98%,beta=1.42) | PE=28.1, margin=0.11, ROE=0.22, rev_growth=0.14, debt_to_equity=43.4 | sma20=210.20, sma50=216.47, sma200=224.62, mom20=-3.39%, rsi14=37.5, vol20=1.98% | headline_sentiment=0.16 weighted from 20 headlines | earnings_days=31, earnings_event_score=0.00, earnings_outlook_score=0.72, price_setup_score=0.38",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; weak technical trend, solid fundamentals, category trend weak (score 0.01, regime bullish)",DAILY_TRADING
