symbol,price,market_regime,fundamental_score,technical_score,news_score,upcoming_earnings_days,earnings_event_score,market_trend_score,category_trend_score,total_score,action_stock,action_option,execution_timing,entry_price,target_price,stop_price,risk_reward,option_symbol_hint,option_expiry,option_strike,reason,trade_type,stock_instruction,option_instruction,brief_reason,strategy_bucket
XOM,170.99,bullish,0.2857,1.0236,0.1045,32,0.0,-0.04,1.0,0.7658,BUY_STOCK,NO_OPTION,NEXT_MARKET_OPEN,170.477,178.7327,165.5236,1.667,,,0.0,"gate(mcap=712474886144,avg_vol=21091210,price=170.99,vol20=1.40%,beta=0.35) | PE=25.5, margin=0.09, ROE=0.11, rev_growth=-0.01, debt_to_equity=18.9 | sma20=156.76, sma50=148.90, sma200=122.70, mom20=10.87%, rsi14=82.3, vol20=1.40% | headline_sentiment=0.26 weighted from 20 headlines | earnings_days=32, earnings_event_score=0.00, earnings_outlook_score=0.15, price_setup_score=0.54",STOCK_ONLY,"BUY STOCK @ 170.48, SELL @ 178.73, STOP @ 165.52",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, positive news tone, category trend supportive (score 0.77, regime bullish)",DAILY_TRADING
CVX,211.15,bullish,0.1344,1.0766,0.0323,32,0.0,-0.04,1.0,0.7183,BUY_STOCK,NO_OPTION,NEXT_MARKET_OPEN,210.5165,219.3637,205.2083,1.667,,,0.0,"gate(mcap=422163513344,avg_vol=12332432,price=211.15,vol20=1.28%,beta=0.66) | PE=31.8, margin=0.07, ROE=0.07, rev_growth=-0.08, debt_to_equity=24.3 | sma20=196.91, sma50=185.19, sma200=161.29, mom20=11.37%, rsi14=84.4, vol20=1.28% | headline_sentiment=0.08 weighted from 20 headlines | earnings_days=32, earnings_event_score=0.00, earnings_outlook_score=0.17, price_setup_score=0.56",STOCK_ONLY,"BUY STOCK @ 210.52, SELL @ 219.36, STOP @ 205.21",NO OPTIONS TRADE,"bullish setup; strong technical trend, category trend supportive (score 0.72, regime bullish)",DAILY_TRADING
MRK,119.63,bullish,0.5383,0.4912,0.0742,7,0.636,-0.04,-1.0,0.5263,BUY_STOCK,NO_OPTION,NEXT_MARKET_OPEN,119.2711,123.9111,116.4871,1.667,,,0.0,"gate(mcap=295772225536,avg_vol=12002774,price=119.63,vol20=1.26%,beta=0.26) | PE=16.4, margin=0.28, ROE=0.37, rev_growth=0.05, debt_to_equity=96.0 | sma20=116.97, sma50=116.45, sma200=95.61, mom20=-1.47%, rsi14=62.4, vol20=1.26% | headline_sentiment=0.19 weighted from 20 headlines | earnings_days=7, earnings_event_score=0.64, earnings_outlook_score=0.31, price_setup_score=0.88",STOCK_ONLY,"BUY STOCK @ 119.27, SELL @ 123.91, STOP @ 116.49",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, category trend weak, earnings catalyst in 7d (score 0.53, regime bullish)",EARNINGS_SWING
JNJ,240.45,bullish,0.5899,0.336,0.0502,15,0.6369,-0.04,-1.0,0.4736,BUY_STOCK,NO_OPTION,NEXT_MARKET_OPEN,239.7286,247.7129,234.9381,1.667,,,0.0,"gate(mcap=579460202496,avg_vol=8638918,price=240.45,vol20=0.95%,beta=0.33) | PE=21.8, margin=0.28, ROE=0.35, rev_growth=0.09, debt_to_equity=60.5 | sma20=240.77, sma50=236.91, sma200=196.66, mom20=-3.26%, rsi14=44.7, vol20=0.95% | headline_sentiment=0.13 weighted from 20 headlines | earnings_days=15, earnings_event_score=0.64, earnings_outlook_score=0.80, price_setup_score=0.89",STOCK_ONLY,"BUY STOCK @ 239.73, SELL @ 247.71, STOP @ 234.94",NO OPTIONS TRADE,"bullish setup; solid fundamentals, category trend weak (score 0.47, regime bullish)",EARNINGS_SWING
NEE,91.4,bullish,0.3738,0.3639,0.0596,23,0.5327,-0.04,-0.5608,0.4258,BUY_STOCK,NO_OPTION,NEXT_MARKET_OPEN,91.1258,95.1401,88.7172,1.667,,,0.0,"gate(mcap=190433902592,avg_vol=9584944,price=91.40,vol20=1.15%,beta=0.75) | PE=27.7, margin=0.25, ROE=0.08, rev_growth=0.21, debt_to_equity=146.2 | sma20=91.68, sma50=90.25, sma200=80.75, mom20=-1.41%, rsi14=47.2, vol20=1.15% | headline_sentiment=0.15 weighted from 20 headlines | earnings_days=23, earnings_event_score=0.53, earnings_outlook_score=0.93, price_setup_score=0.92",STOCK_ONLY,"BUY STOCK @ 91.13, SELL @ 95.14, STOP @ 88.72",NO OPTIONS TRADE,"bullish setup; solid fundamentals, category trend weak (score 0.43, regime bullish)",DAILY_TRADING
VZ,50.31,bullish,0.2351,0.5588,0.0419,10,0.5225,-0.04,-1.0,0.4192,BUY_STOCK,NO_OPTION,NEXT_MARKET_OPEN,50.1591,52.1519,48.9634,1.667,,,0.0,"gate(mcap=212191707136,avg_vol=31597718,price=50.31,vol20=0.97%,beta=0.28) | PE=12.4, margin=0.12, ROE=0.17, rev_growth=0.02, debt_to_equity=174.8 | sma20=50.58, sma50=47.31, sma200=43.23, mom20=0.66%, rsi14=48.8, vol20=0.97% | headline_sentiment=0.10 weighted from 20 headlines | earnings_days=10, earnings_event_score=0.52, earnings_outlook_score=0.22, price_setup_score=0.93",STOCK_ONLY,"BUY STOCK @ 50.16, SELL @ 52.15, STOP @ 48.96",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, category trend weak (score 0.42, regime bullish)",DAILY_TRADING
T,29.1,bullish,0.3951,0.444,0.0,23,0.3877,-0.04,-1.0,0.4118,BUY_STOCK,NO_OPTION,NEXT_MARKET_OPEN,29.0127,30.2213,28.2876,1.667,,,0.0,"gate(mcap=203716788224,avg_vol=44477611,price=29.10,vol20=1.46%,beta=0.58) | PE=9.6, margin=0.17, ROE=0.19, rev_growth=0.04, debt_to_equity=124.2 | sma20=28.21, sma50=27.11, sma200=26.87, mom20=3.89%, rsi14=71.4, vol20=1.46% | headline_sentiment=0.00 weighted from 20 headlines | earnings_days=23, earnings_event_score=0.39, earnings_outlook_score=0.29, price_setup_score=0.77",STOCK_ONLY,"BUY STOCK @ 29.01, SELL @ 30.22, STOP @ 28.29",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, category trend weak (score 0.41, regime bullish)",DAILY_TRADING
GOOGL,274.34,bullish,0.7066,-0.2319,-0.0056,24,0.3637,-0.04,-1.0,0.229,HOLD,NO_OPTION,NEXT_MARKET_OPEN,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=3318691135488,avg_vol=32649994,price=274.34,vol20=1.61%,beta=1.11) | PE=25.4, margin=0.33, ROE=0.36, rev_growth=0.18, debt_to_equity=16.1 | sma20=300.58, sma50=313.60, sma200=262.75, mom20=-10.50%, rsi14=22.0, vol20=1.61% | headline_sentiment=-0.01 weighted from 20 headlines | earnings_days=24, earnings_event_score=0.36, earnings_outlook_score=1.00, price_setup_score=0.16",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, category trend weak (score 0.23, regime bullish)",DAILY_TRADING
DUK,129.99,bullish,0.2112,0.1634,0.0396,36,0.0,-0.04,-0.5608,0.2143,HOLD,NO_OPTION,NEXT_MARKET_OPEN,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=101160394752,avg_vol=4383220,price=129.99,vol20=0.93%,beta=0.47) | PE=20.6, margin=0.16, ROE=0.10, rev_growth=0.08, debt_to_equity=171.8 | sma20=130.54, sma50=126.17, sma200=122.28, mom20=-1.25%, rsi14=46.4, vol20=0.93% | headline_sentiment=0.10 weighted from 20 headlines | earnings_days=36, earnings_event_score=0.00, earnings_outlook_score=0.37, price_setup_score=0.90",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, category trend weak (score 0.21, regime bullish)",DAILY_TRADING
WMT,122.89,bullish,0.1701,0.2727,-0.0237,38,0.0,-0.04,-0.8902,0.2112,HOLD,NO_OPTION,NEXT_MARKET_OPEN,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=979728531456,avg_vol=31058015,price=122.89,vol20=1.32%,beta=0.66) | PE=45.0, margin=0.03, ROE=0.22, rev_growth=0.06, debt_to_equity=64.4 | sma20=123.94, sma50=124.06, sma200=108.67, mom20=-3.31%, rsi14=46.1, vol20=1.32% | headline_sentiment=-0.06 weighted from 20 headlines | earnings_days=38, earnings_event_score=0.00, earnings_outlook_score=0.39, price_setup_score=0.53",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; category trend weak (score 0.21, regime bullish)",DAILY_TRADING
PFE,27.04,bullish,0.2491,0.1943,0.0387,36,0.0,-0.04,-1.0,0.2081,HOLD,NO_OPTION,NEXT_MARKET_OPEN,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=153813155840,avg_vol=45343106,price=27.04,vol20=1.40%,beta=0.41) | PE=19.9, margin=0.12, ROE=0.09, rev_growth=-0.01, debt_to_equity=78.0 | sma20=27.01, sma50=26.81, sma200=25.39, mom20=-0.81%, rsi14=52.7, vol20=1.40% | headline_sentiment=0.10 weighted from 20 headlines | earnings_days=36, earnings_event_score=0.00, earnings_outlook_score=0.22, price_setup_score=0.97",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, category trend weak (score 0.21, regime bullish)",DAILY_TRADING
CAT,695.4,bullish,0.2583,0.1861,-0.0407,31,0.0,-0.04,-1.0,0.1962,HOLD,NO_OPTION,NEXT_MARKET_OPEN,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=325432999936,avg_vol=2803688,price=695.40,vol20=2.12%,beta=1.53) | PE=37.0, margin=0.13, ROE=0.44, rev_growth=0.18, debt_to_equity=206.7 | sma20=705.91, sma50=706.17, sma200=542.77, mom20=-7.57%, rsi14=46.2, vol20=2.12% | headline_sentiment=-0.10 weighted from 20 headlines | earnings_days=31, earnings_event_score=0.00, earnings_outlook_score=0.45, price_setup_score=0.52",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, category trend weak (score 0.20, regime bullish)",DAILY_TRADING
