symbol,price,market_regime,fundamental_score,technical_score,news_score,upcoming_earnings_days,earnings_event_score,market_trend_score,category_trend_score,total_score,action_stock,action_option,execution_timing,entry_price,target_price,stop_price,risk_reward,option_symbol_hint,option_expiry,option_strike,reason,trade_type,stock_instruction,option_instruction,brief_reason,strategy_bucket,stock_qty,stock_notional_usd,option_contracts,option_premium_est_usd,recommended_budget_usd
XOM,172.9,bullish,0.2838,1.0764,0.1336,31,0.0,-0.04,1.0,0.7932,BUY_STOCK,NO_OPTION,NOW,172.3813,181.0177,167.1994,1.667,,,0.0,"gate(mcap=720433381376,avg_vol=21091210,price=172.90,vol20=1.40%,beta=0.35) | PE=25.8, margin=0.09, ROE=0.11, rev_growth=-0.01, debt_to_equity=18.9 | sma20=157.70, sma50=149.77, sma200=123.02, mom20=13.88%, rsi14=89.4, vol20=1.40% | headline_sentiment=0.33 weighted from 20 headlines | earnings_days=31, earnings_event_score=0.00, earnings_outlook_score=0.15, price_setup_score=0.50",STOCK_ONLY,"BUY 6 SHARES @ 172.38, SELL @ 181.02, STOP @ 167.20",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, positive news tone, category trend supportive (score 0.79, regime bullish)",DAILY_TRADING,6,1034.29,0,0.0,1034.29
CVX,211.73,bullish,0.1338,1.0943,0.0226,31,0.0,-0.04,1.0,0.7245,BUY_STOCK,NO_OPTION,NOW,211.0948,219.9077,205.8071,1.667,,,0.0,"gate(mcap=423323140096,avg_vol=12332432,price=211.73,vol20=1.26%,beta=0.66) | PE=31.9, margin=0.07, ROE=0.07, rev_growth=-0.08, debt_to_equity=24.3 | sma20=198.02, sma50=186.10, sma200=161.63, mom20=12.19%, rsi14=93.8, vol20=1.26% | headline_sentiment=0.06 weighted from 20 headlines | earnings_days=31, earnings_event_score=0.00, earnings_outlook_score=0.17, price_setup_score=0.56",STOCK_ONLY,"BUY 5 SHARES @ 211.09, SELL @ 219.91, STOP @ 205.81",NO OPTIONS TRADE,"bullish setup; strong technical trend, category trend supportive (score 0.72, regime bullish)",DAILY_TRADING,5,1055.47,0,0.0,1055.47
VZ,50.385,bullish,0.235,0.5091,0.0744,9,0.5305,-0.04,-0.8725,0.4127,BUY_STOCK,NO_OPTION,NOW,50.2338,52.2217,49.0411,1.667,,,0.0,"gate(mcap=212508016640,avg_vol=31597718,price=50.38,vol20=0.97%,beta=0.28) | PE=12.4, margin=0.12, ROE=0.17, rev_growth=0.02, debt_to_equity=174.8 | sma20=50.60, sma50=47.53, sma200=43.26, mom20=-0.95%, rsi14=47.1, vol20=0.97% | headline_sentiment=0.19 weighted from 20 headlines | earnings_days=9, earnings_event_score=0.53, earnings_outlook_score=0.22, price_setup_score=0.91",STOCK_ONLY,"BUY 23 SHARES @ 50.23, SELL @ 52.22, STOP @ 49.04",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, category trend weak (score 0.41, regime bullish)",DAILY_TRADING,23,1155.38,0,0.0,1155.38
T,29.035,bullish,0.3952,0.3741,-0.0085,22,0.3878,-0.04,-0.8725,0.3893,BUY_STOCK,NO_OPTION,NOW,28.9479,30.1575,28.2221,1.667,,,0.0,"gate(mcap=203261755392,avg_vol=44477611,price=29.03,vol20=1.46%,beta=0.58) | PE=9.6, margin=0.17, ROE=0.19, rev_growth=0.04, debt_to_equity=124.2 | sma20=28.27, sma50=27.21, sma200=26.88, mom20=1.27%, rsi14=68.6, vol20=1.46% | headline_sentiment=-0.02 weighted from 20 headlines | earnings_days=22, earnings_event_score=0.39, earnings_outlook_score=0.29, price_setup_score=0.81",STOCK_ONLY,"BUY 41 SHARES @ 28.95, SELL @ 30.16, STOP @ 28.22",NO OPTIONS TRADE,"bullish setup; solid fundamentals, category trend weak (score 0.39, regime bullish)",DAILY_TRADING,41,1186.86,0,0.0,1186.86
WMT,124.32,bullish,0.1666,0.2919,0.203,37,0.0,-0.04,-0.6621,0.2707,BUY_STOCK,NO_OPTION,NOW,123.947,129.0942,120.8588,1.667,,,0.0,"gate(mcap=991208865792,avg_vol=31058015,price=124.32,vol20=1.35%,beta=0.66) | PE=45.5, margin=0.03, ROE=0.22, rev_growth=0.06, debt_to_equity=64.4 | sma20=123.80, sma50=124.16, sma200=108.81, mom20=-2.80%, rsi14=47.9, vol20=1.35% | headline_sentiment=0.51 weighted from 20 headlines | earnings_days=37, earnings_event_score=0.00, earnings_outlook_score=0.39, price_setup_score=0.92",STOCK_ONLY,"BUY 9 SHARES @ 123.95, SELL @ 129.09, STOP @ 120.86",NO OPTIONS TRADE,"bullish setup; positive news tone, category trend weak (score 0.27, regime bullish)",DAILY_TRADING,9,1115.52,0,0.0,1115.52
PFE,27.5544,bullish,0.2466,0.2888,0.0335,35,0.0,-0.04,-0.8647,0.2597,BUY_STOCK,NO_OPTION,NOW,27.4717,28.7317,26.7157,1.667,,,0.0,"gate(mcap=156739239936,avg_vol=45343106,price=27.55,vol20=1.44%,beta=0.41) | PE=20.3, margin=0.12, ROE=0.09, rev_growth=-0.01, debt_to_equity=78.0 | sma20=27.03, sma50=26.84, sma200=25.40, mom20=3.67%, rsi14=54.4, vol20=1.44% | headline_sentiment=0.08 weighted from 20 headlines | earnings_days=35, earnings_event_score=0.00, earnings_outlook_score=0.22, price_setup_score=0.95",STOCK_ONLY,"BUY 43 SHARES @ 27.47, SELL @ 28.73, STOP @ 26.72",NO OPTIONS TRADE,"bullish setup; solid fundamentals, category trend weak (score 0.26, regime bullish)",DAILY_TRADING,43,1181.28,0,0.0,1181.28
KO,76.965,bullish,0.3915,0.1178,0.018,0,0.0,-0.04,-0.6621,0.2545,BUY_STOCK,NO_OPTION,NOW,76.7341,79.1534,75.2825,1.667,,,0.0,"gate(mcap=331269111808,avg_vol=17924930,price=76.96,vol20=0.99%,beta=0.33) | PE=25.3, margin=0.27, ROE=0.43, rev_growth=0.02, debt_to_equity=139.8 | sma20=76.69, sma50=76.80, sma200=71.22, mom20=-2.99%, rsi14=44.5, vol20=0.99% | headline_sentiment=0.04 weighted from 20 headlines | earnings_days=0, earnings_event_score=0.00, earnings_outlook_score=0.45, price_setup_score=0.89",STOCK_ONLY,"BUY 15 SHARES @ 76.73, SELL @ 79.15, STOP @ 75.28",NO OPTIONS TRADE,"bullish setup; solid fundamentals, category trend weak (score 0.25, regime bullish)",DAILY_TRADING,15,1151.01,0,0.0,1151.01
COST,1001.36,bullish,0.2614,0.133,0.1243,59,0.0,-0.04,-0.6621,0.2253,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=444473049088,avg_vol=2252254,price=1001.36,vol20=1.02%,beta=0.99) | PE=52.2, margin=0.03, ROE=0.30, rev_growth=0.09, debt_to_equity=26.0 | sma20=990.30, sma50=986.36, sma200=948.27, mom20=-0.64%, rsi14=52.0, vol20=1.02% | headline_sentiment=0.31 weighted from 20 headlines | earnings_days=59, earnings_event_score=0.00, earnings_outlook_score=0.72, price_setup_score=0.95",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, positive news tone, category trend weak (score 0.23, regime bullish)",DAILY_TRADING,0,0.0,0,0.0,0.0
NFLX,93.185,bullish,0.5499,-0.2988,0.1475,17,0.5502,-0.04,-0.8725,0.188,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=395280482304,avg_vol=48441452,price=93.18,vol20=1.33%,beta=1.71) | PE=36.8, margin=0.24, ROE=0.43, rev_growth=0.18, debt_to_equity=63.8 | sma20=94.93, sma50=87.58, sma200=107.50, mom20=-4.62%, rsi14=37.3, vol20=1.33% | headline_sentiment=0.37 weighted from 20 headlines | earnings_days=17, earnings_event_score=0.55, earnings_outlook_score=0.95, price_setup_score=0.78",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, positive news tone, category trend weak (score 0.19, regime bullish)",DAILY_TRADING,0,0.0,0,0.0,0.0
AAPL,246.515,bullish,0.5191,-0.2899,0.061,31,0.0,-0.04,-0.7667,0.1202,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=3623259209728,avg_vol=46586027,price=246.51,vol20=1.02%,beta=1.12) | PE=31.2, margin=0.27, ROE=1.52, rev_growth=0.16, debt_to_equity=102.6 | sma20=254.47, sma50=260.05, sma200=248.29, mom20=-6.52%, rsi14=27.9, vol20=1.02% | headline_sentiment=0.15 weighted from 20 headlines | earnings_days=31, earnings_event_score=0.00, earnings_outlook_score=0.86, price_setup_score=0.30",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, category trend weak (score 0.12, regime bullish)",DAILY_TRADING,0,0.0,0,0.0,0.0
