symbol,price,market_regime,fundamental_score,technical_score,news_score,upcoming_earnings_days,earnings_event_score,market_trend_score,category_trend_score,total_score,action_stock,action_option,execution_timing,entry_price,target_price,stop_price,risk_reward,option_symbol_hint,option_expiry,option_strike,reason,trade_type,stock_instruction,option_instruction,brief_reason,strategy_bucket,stock_qty,stock_notional_usd,option_contracts,option_premium_est_usd,recommended_budget_usd
EQT,64.13,bullish,0.6611,0.627,0.1322,22,0.6585,-0.04,1.0,0.8074,BUY_STOCK,NO_OPTION,NOW,63.9376,68.8955,60.9629,1.667,,,0.0,"gate(mcap=40034689024,avg_vol=10037313,price=64.13,vol20=1.83%,beta=0.72) | PE=19.4, margin=0.25, ROE=0.09, rev_growth=0.27, debt_to_equity=28.9 | sma20=64.10, sma50=59.77, sma200=55.95, mom20=4.09%, rsi14=58.3, vol20=1.83% | headline_sentiment=0.33 weighted from 20 headlines | earnings_days=22, earnings_event_score=0.66, earnings_outlook_score=0.96, price_setup_score=0.97",STOCK_ONLY,"BUY 18 SHARES @ 63.94, SELL @ 68.90, STOP @ 60.96",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, positive news tone, category trend supportive (score 0.81, regime bullish)",EARNINGS_SWING,18,1150.88,0,0.0,1150.88
XOM,172.1501,bullish,0.2846,1.0683,0.1336,31,0.0,-0.04,1.0,0.7898,BUY_STOCK,NO_OPTION,NOW,171.6337,180.2701,166.4518,1.667,,,0.0,"gate(mcap=717308755968,avg_vol=21091210,price=172.15,vol20=1.40%,beta=0.35) | PE=25.7, margin=0.09, ROE=0.11, rev_growth=-0.01, debt_to_equity=18.9 | sma20=157.67, sma50=149.76, sma200=123.01, mom20=13.44%, rsi14=89.1, vol20=1.40% | headline_sentiment=0.33 weighted from 20 headlines | earnings_days=31, earnings_event_score=0.00, earnings_outlook_score=0.15, price_setup_score=0.51",STOCK_ONLY,"BUY 6 SHARES @ 171.63, SELL @ 180.27, STOP @ 166.45",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, positive news tone, category trend supportive (score 0.79, regime bullish)",DAILY_TRADING,6,1029.8,0,0.0,1029.8
CVX,211.32,bullish,0.1342,1.0897,0.0226,31,0.0,-0.04,1.0,0.7227,BUY_STOCK,NO_OPTION,NOW,210.686,219.4989,205.3983,1.667,,,0.0,"gate(mcap=422413434880,avg_vol=12332432,price=211.32,vol20=1.26%,beta=0.66) | PE=31.9, margin=0.07, ROE=0.07, rev_growth=-0.08, debt_to_equity=24.3 | sma20=198.00, sma50=186.09, sma200=161.62, mom20=11.95%, rsi14=93.7, vol20=1.26% | headline_sentiment=0.06 weighted from 20 headlines | earnings_days=31, earnings_event_score=0.00, earnings_outlook_score=0.17, price_setup_score=0.56",STOCK_ONLY,"BUY 5 SHARES @ 210.69, SELL @ 219.50, STOP @ 205.40",NO OPTIONS TRADE,"bullish setup; strong technical trend, category trend supportive (score 0.72, regime bullish)",DAILY_TRADING,5,1053.43,0,0.0,1053.43
VZ,50.284,bullish,0.2351,0.4959,0.0743,9,0.5252,-0.04,-0.8971,0.4043,BUY_STOCK,NO_OPTION,NOW,50.1331,52.121,48.9404,1.667,,,0.0,"gate(mcap=212082032640,avg_vol=31597718,price=50.28,vol20=0.97%,beta=0.28) | PE=12.4, margin=0.12, ROE=0.17, rev_growth=0.02, debt_to_equity=174.8 | sma20=50.60, sma50=47.53, sma200=43.26, mom20=-1.15%, rsi14=46.1, vol20=0.97% | headline_sentiment=0.19 weighted from 20 headlines | earnings_days=9, earnings_event_score=0.53, earnings_outlook_score=0.22, price_setup_score=0.90",STOCK_ONLY,"BUY 23 SHARES @ 50.13, SELL @ 52.12, STOP @ 48.94",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, category trend weak (score 0.40, regime bullish)",DAILY_TRADING,23,1153.06,0,0.0,1153.06
T,28.895,bullish,0.3955,0.3385,-0.0086,22,0.3866,-0.04,-0.8971,0.3713,BUY_STOCK,NO_OPTION,NOW,28.8083,30.0201,28.0812,1.667,,,0.0,"gate(mcap=202281680896,avg_vol=44477611,price=28.90,vol20=1.47%,beta=0.58) | PE=9.5, margin=0.17, ROE=0.19, rev_growth=0.04, debt_to_equity=124.2 | sma20=28.26, sma50=27.21, sma200=26.88, mom20=0.78%, rsi14=66.0, vol20=1.47% | headline_sentiment=-0.02 weighted from 20 headlines | earnings_days=22, earnings_event_score=0.39, earnings_outlook_score=0.29, price_setup_score=0.84",STOCK_ONLY,"BUY 41 SHARES @ 28.81, SELL @ 30.02, STOP @ 28.08",NO OPTIONS TRADE,"bullish setup; solid fundamentals, category trend weak (score 0.37, regime bullish)",DAILY_TRADING,41,1181.14,0,0.0,1181.14
PFE,27.615,bullish,0.2463,0.299,0.0337,35,0.0,-0.04,-0.8705,0.2637,BUY_STOCK,NO_OPTION,NOW,27.5322,28.8064,26.7676,1.667,,,0.0,"gate(mcap=157083959296,avg_vol=45343106,price=27.61,vol20=1.45%,beta=0.41) | PE=20.3, margin=0.12, ROE=0.09, rev_growth=-0.01, debt_to_equity=78.0 | sma20=27.03, sma50=26.84, sma200=25.40, mom20=3.89%, rsi14=55.1, vol20=1.45% | headline_sentiment=0.08 weighted from 20 headlines | earnings_days=35, earnings_event_score=0.00, earnings_outlook_score=0.22, price_setup_score=0.95",STOCK_ONLY,"BUY 43 SHARES @ 27.53, SELL @ 28.81, STOP @ 26.77",NO OPTIONS TRADE,"bullish setup; solid fundamentals, category trend weak (score 0.26, regime bullish)",DAILY_TRADING,43,1183.88,0,0.0,1183.88
WMT,124.1,bullish,0.1672,0.2824,0.1904,37,0.0,-0.04,-0.7257,0.2596,BUY_STOCK,NO_OPTION,NOW,123.7277,128.8748,120.6394,1.667,,,0.0,"gate(mcap=989375168512,avg_vol=31058015,price=124.10,vol20=1.34%,beta=0.66) | PE=45.5, margin=0.03, ROE=0.22, rev_growth=0.06, debt_to_equity=64.4 | sma20=123.79, sma50=124.16, sma200=108.81, mom20=-2.98%, rsi14=47.3, vol20=1.34% | headline_sentiment=0.48 weighted from 20 headlines | earnings_days=37, earnings_event_score=0.00, earnings_outlook_score=0.39, price_setup_score=0.56",STOCK_ONLY,"BUY 9 SHARES @ 123.73, SELL @ 128.87, STOP @ 120.64",NO OPTIONS TRADE,"bullish setup; positive news tone, category trend weak (score 0.26, regime bullish)",DAILY_TRADING,9,1113.55,0,0.0,1113.55
KO,76.775,bullish,0.3919,0.1006,0.0177,0,0.0,-0.04,-0.7257,0.2419,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=330451353600,avg_vol=17924930,price=76.78,vol20=0.96%,beta=0.33) | PE=25.3, margin=0.27, ROE=0.43, rev_growth=0.02, debt_to_equity=139.8 | sma20=76.68, sma50=76.80, sma200=71.22, mom20=-3.23%, rsi14=43.2, vol20=0.96% | headline_sentiment=0.04 weighted from 20 headlines | earnings_days=0, earnings_event_score=0.00, earnings_outlook_score=0.45, price_setup_score=0.52",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, category trend weak (score 0.24, regime bullish)",DAILY_TRADING,0,0.0,0,0.0,0.0
COST,998.51,bullish,0.2624,0.1139,0.0849,59,0.0,-0.04,-0.7257,0.2061,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=443208040448,avg_vol=2252254,price=998.51,vol20=1.00%,beta=0.99) | PE=52.0, margin=0.03, ROE=0.30, rev_growth=0.09, debt_to_equity=26.0 | sma20=990.16, sma50=986.31, sma200=948.26, mom20=-0.92%, rsi14=50.6, vol20=1.00% | headline_sentiment=0.21 weighted from 20 headlines | earnings_days=59, earnings_event_score=0.00, earnings_outlook_score=0.72, price_setup_score=0.94",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, positive news tone, category trend weak (score 0.21, regime bullish)",DAILY_TRADING,0,0.0,0,0.0,0.0
NFLX,92.835,bullish,0.5508,-0.3142,0.1472,17,0.5479,-0.04,-0.8971,0.1792,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=393795796992,avg_vol=48441452,price=92.83,vol20=1.33%,beta=1.71) | PE=36.7, margin=0.24, ROE=0.43, rev_growth=0.18, debt_to_equity=63.8 | sma20=94.92, sma50=87.57, sma200=107.50, mom20=-4.98%, rsi14=36.4, vol20=1.33% | headline_sentiment=0.37 weighted from 20 headlines | earnings_days=17, earnings_event_score=0.55, earnings_outlook_score=0.95, price_setup_score=0.77",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, positive news tone, category trend weak (score 0.18, regime bullish)",DAILY_TRADING,0,0.0,0,0.0,0.0
