symbol,price,market_regime,fundamental_score,technical_score,news_score,upcoming_earnings_days,earnings_event_score,market_trend_score,category_trend_score,total_score,action_stock,action_option,execution_timing,entry_price,target_price,stop_price,risk_reward,option_symbol_hint,option_expiry,option_strike,reason,trade_type,stock_instruction,option_instruction,brief_reason,strategy_bucket
EQT,64.44,bullish,0.6604,0.6514,0.1729,21,0.679,-0.04,1.0,0.7134,BUY_STOCK,NO_OPTION,NEXT_MARKET_OPEN,64.2467,69.2303,61.2565,1.667,,,0.0,"gate(mcap=40228216832,avg_vol=10037313,price=64.44,vol20=1.77%,beta=0.72) | PE=19.5, margin=0.25, ROE=0.09, rev_growth=0.27, debt_to_equity=28.9 | sma20=64.12, sma50=59.78, sma200=55.95, mom20=4.59%, rsi14=59.7, vol20=1.77% | headline_sentiment=0.43 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=21, earnings_event_score=0.68, earnings_outlook_score=0.96, price_setup_score=0.94",STOCK_ONLY,"BUY 0 SHARES @ 64.25, SELL @ 69.23, STOP @ 61.26",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, positive news tone, category trend supportive (score 0.71, regime bullish)",EARNINGS_SWING
CVX,210.71,bullish,0.1348,1.0835,0.3039,31,0.0,-0.04,1.0,0.6212,BUY_STOCK,NO_OPTION,NEXT_MARKET_OPEN,210.0779,219.0134,204.7165,1.667,,,0.0,"gate(mcap=421283823616,avg_vol=12332432,price=210.71,vol20=1.27%,beta=0.66) | PE=31.8, margin=0.07, ROE=0.07, rev_growth=-0.08, debt_to_equity=24.3 | sma20=197.97, sma50=186.08, sma200=161.62, mom20=11.62%, rsi14=92.3, vol20=1.27% | headline_sentiment=0.76 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=31, earnings_event_score=0.00, earnings_outlook_score=0.17, price_setup_score=0.57",STOCK_ONLY,"BUY 0 SHARES @ 210.08, SELL @ 219.01, STOP @ 204.72",NO OPTIONS TRADE,"bullish setup; strong technical trend, positive news tone, category trend supportive (score 0.62, regime bullish)",DAILY_TRADING
XOM,171.47,bullish,0.2853,1.0589,-0.4044,31,0.0,-0.04,1.0,0.5702,BUY_STOCK,NO_OPTION,NEXT_MARKET_OPEN,170.9556,179.592,165.7737,1.667,,,0.0,"gate(mcap=714474913792,avg_vol=21091210,price=171.47,vol20=1.40%,beta=0.35) | PE=25.6, margin=0.09, ROE=0.11, rev_growth=-0.01, debt_to_equity=18.9 | sma20=157.63, sma50=149.75, sma200=123.01, mom20=12.94%, rsi14=88.9, vol20=1.40% | headline_sentiment=-1.01 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=31, earnings_event_score=0.00, earnings_outlook_score=0.15, price_setup_score=0.52",STOCK_ONLY,"BUY 0 SHARES @ 170.96, SELL @ 179.59, STOP @ 165.77",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, negative news tone, category trend supportive (score 0.57, regime bullish)",DAILY_TRADING
VZ,50.3,bullish,0.2351,0.4978,0.1119,9,0.5399,-0.04,-0.8957,0.3395,BUY_STOCK,NO_OPTION,NEXT_MARKET_OPEN,50.1491,52.137,48.9564,1.667,,,0.0,"gate(mcap=212149518336,avg_vol=31597718,price=50.30,vol20=0.97%,beta=0.28) | PE=12.4, margin=0.12, ROE=0.17, rev_growth=0.02, debt_to_equity=174.8 | sma20=50.60, sma50=47.53, sma200=43.26, mom20=-1.12%, rsi14=46.3, vol20=0.97% | headline_sentiment=0.28 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=9, earnings_event_score=0.54, earnings_outlook_score=0.22, price_setup_score=0.90",STOCK_ONLY,"BUY 0 SHARES @ 50.15, SELL @ 52.14, STOP @ 48.96",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, positive news tone, category trend weak (score 0.34, regime bullish)",DAILY_TRADING
T,28.78,bullish,0.3958,0.3106,0.0,22,0.3882,-0.04,-0.8957,0.3038,BUY_STOCK,NO_OPTION,NEXT_MARKET_OPEN,28.6937,29.924,27.9554,1.667,,,0.0,"gate(mcap=201476603904,avg_vol=44477611,price=28.78,vol20=1.49%,beta=0.58) | PE=9.5, margin=0.17, ROE=0.19, rev_growth=0.04, debt_to_equity=124.2 | sma20=28.25, sma50=27.21, sma200=26.88, mom20=0.38%, rsi14=64.0, vol20=1.49% | headline_sentiment=0.00 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=22, earnings_event_score=0.39, earnings_outlook_score=0.29, price_setup_score=0.87",STOCK_ONLY,"BUY 0 SHARES @ 28.69, SELL @ 29.92, STOP @ 27.96",NO OPTIONS TRADE,"bullish setup; solid fundamentals, category trend weak (score 0.30, regime bullish)",DAILY_TRADING
WMT,123.5,bullish,0.1686,0.2567,0.3918,37,0.0,-0.04,-0.7495,0.2321,HOLD,NO_OPTION,NEXT_MARKET_OPEN,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=984591761408,avg_vol=31058015,price=123.50,vol20=1.32%,beta=0.66) | PE=45.2, margin=0.03, ROE=0.22, rev_growth=0.06, debt_to_equity=64.4 | sma20=123.76, sma50=124.14, sma200=108.81, mom20=-3.45%, rsi14=45.6, vol20=1.32% | headline_sentiment=0.98 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=37, earnings_event_score=0.00, earnings_outlook_score=0.39, price_setup_score=0.54",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; positive news tone, category trend weak (score 0.23, regime bullish)",DAILY_TRADING
PFE,27.77,bullish,0.2455,0.3242,0.0,35,0.0,-0.04,-0.8766,0.2183,HOLD,NO_OPTION,NEXT_MARKET_OPEN,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=157965664256,avg_vol=45343106,price=27.77,vol20=1.50%,beta=0.41) | PE=20.4, margin=0.12, ROE=0.09, rev_growth=-0.01, debt_to_equity=78.0 | sma20=27.04, sma50=26.84, sma200=25.40, mom20=4.48%, rsi14=56.6, vol20=1.50% | headline_sentiment=0.00 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=35, earnings_event_score=0.00, earnings_outlook_score=0.22, price_setup_score=0.93",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, category trend weak (score 0.22, regime bullish)",DAILY_TRADING
KO,76.27,bullish,0.3931,0.0516,0.0,0,0.0,-0.04,-0.7495,0.1903,HOLD,NO_OPTION,NEXT_MARKET_OPEN,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=328277753856,avg_vol=17924930,price=76.27,vol20=0.91%,beta=0.33) | PE=25.1, margin=0.27, ROE=0.43, rev_growth=0.02, debt_to_equity=139.8 | sma20=76.66, sma50=76.79, sma200=71.22, mom20=-3.87%, rsi14=39.4, vol20=0.91% | headline_sentiment=0.00 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=0, earnings_event_score=0.00, earnings_outlook_score=0.45, price_setup_score=0.47",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, category trend weak (score 0.19, regime bullish)",DAILY_TRADING
NFLX,92.97,bullish,0.5504,-0.3083,0.091,16,0.5422,-0.04,-0.8957,0.1816,HOLD,NO_OPTION,NEXT_MARKET_OPEN,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=394368483328,avg_vol=48441452,price=92.97,vol20=1.33%,beta=1.71) | PE=36.7, margin=0.24, ROE=0.43, rev_growth=0.18, debt_to_equity=63.8 | sma20=94.92, sma50=87.57, sma200=107.50, mom20=-4.84%, rsi14=36.7, vol20=1.33% | headline_sentiment=0.23 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=16, earnings_event_score=0.54, earnings_outlook_score=0.95, price_setup_score=0.77",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, positive news tone, category trend weak (score 0.18, regime bullish)",DAILY_TRADING
V,299.54,bullish,0.6021,-0.6126,0.3987,28,0.3726,-0.04,-0.659,0.1428,HOLD,NO_OPTION,NEXT_MARKET_OPEN,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=577524989952,avg_vol=7744538,price=299.54,vol20=1.20%,beta=0.79) | PE=28.2, margin=0.50, ROE=0.54, rev_growth=0.15, debt_to_equity=54.6 | sma20=308.20, sma50=317.38, sma200=337.37, mom20=-6.64%, rsi14=33.3, vol20=1.20% | headline_sentiment=1.00 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=28, earnings_event_score=0.37, earnings_outlook_score=0.89, price_setup_score=0.36",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; weak technical trend, solid fundamentals, positive news tone, category trend weak (score 0.14, regime bullish)",DAILY_TRADING
AAPL,246.63,bullish,0.519,-0.2886,-0.084,30,0.2739,-0.04,-0.7978,0.1344,HOLD,NO_OPTION,NEXT_MARKET_OPEN,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=3624949514240,avg_vol=46586027,price=246.63,vol20=1.02%,beta=1.12) | PE=31.2, margin=0.27, ROE=1.52, rev_growth=0.16, debt_to_equity=102.6 | sma20=254.47, sma50=260.05, sma200=248.29, mom20=-6.49%, rsi14=28.0, vol20=1.02% | headline_sentiment=-0.21 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=30, earnings_event_score=0.27, earnings_outlook_score=0.86, price_setup_score=0.31",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, negative news tone, category trend weak (score 0.13, regime bullish)",DAILY_TRADING
COST,996.58,bullish,0.263,0.1004,-0.2045,58,0.0,-0.04,-0.7495,0.1331,HOLD,NO_OPTION,NEXT_MARKET_OPEN,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=442351386624,avg_vol=2252254,price=996.58,vol20=0.99%,beta=0.99) | PE=51.9, margin=0.03, ROE=0.30, rev_growth=0.09, debt_to_equity=26.0 | sma20=990.06, sma50=986.27, sma200=948.25, mom20=-1.11%, rsi14=49.6, vol20=0.99% | headline_sentiment=-0.51 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=58, earnings_event_score=0.00, earnings_outlook_score=0.72, price_setup_score=0.93",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, negative news tone, category trend weak (score 0.13, regime bullish)",DAILY_TRADING
LLY,886.63,bullish,0.4941,-0.3228,-0.2065,30,0.2753,-0.04,-0.8766,0.0916,HOLD,NO_OPTION,NEXT_MARKET_OPEN,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=793550454784,avg_vol=3071144,price=886.63,vol20=1.74%,beta=0.43) | PE=38.7, margin=0.32, ROE=1.01, rev_growth=0.43, debt_to_equity=165.3 | sma20=950.51, sma50=1004.31, sma200=896.07, mom20=-12.02%, rsi14=19.7, vol20=1.74% | headline_sentiment=-0.52 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=30, earnings_event_score=0.28, earnings_outlook_score=0.96, price_setup_score=0.20",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, negative news tone, category trend weak (score 0.09, regime bullish)",DAILY_TRADING
JPM,283.77,bullish,0.2839,-0.3528,0.0966,5,0.3442,-0.04,-0.659,0.0732,HOLD,NO_OPTION,NEXT_MARKET_OPEN,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=765336879104,avg_vol=10893884,price=283.77,vol20=1.12%,beta=1.06) | PE=14.2, margin=0.34, ROE=0.16, rev_growth=0.03, debt_to_equity=200.0 | sma20=289.33, sma50=299.72, sma200=301.99, mom20=-5.49%, rsi14=42.9, vol20=1.12% | headline_sentiment=0.24 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=5, earnings_event_score=0.34, earnings_outlook_score=0.24, price_setup_score=0.48",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, positive news tone, category trend weak (score 0.07, regime bullish)",DAILY_TRADING
AMZN,200.95,bullish,0.4468,-0.4706,0.0986,30,0.2893,-0.04,-0.825,0.073,HOLD,NO_OPTION,NEXT_MARKET_OPEN,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=2157182320640,avg_vol=48889476,price=200.95,vol20=1.97%,beta=1.42) | PE=28.0, margin=0.11, ROE=0.22, rev_growth=0.14, debt_to_equity=43.4 | sma20=210.16, sma50=216.45, sma200=224.61, mom20=-3.73%, rsi14=36.7, vol20=1.97% | headline_sentiment=0.25 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=30, earnings_event_score=0.29, earnings_outlook_score=0.72, price_setup_score=0.37",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; weak technical trend, solid fundamentals, positive news tone, category trend weak (score 0.07, regime bullish)",DAILY_TRADING
BAC,47.23,bullish,0.2955,-0.441,0.2049,15,0.4328,-0.04,-0.659,0.0716,HOLD,NO_OPTION,NEXT_MARKET_OPEN,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=338954682368,avg_vol=41017757,price=47.23,vol20=1.32%,beta=1.26) | PE=12.4, margin=0.28, ROE=0.10, rev_growth=0.07, debt_to_equity=200.0 | sma20=47.99, sma50=50.93, sma200=50.77, mom20=-5.48%, rsi14=40.2, vol20=1.32% | headline_sentiment=0.51 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=15, earnings_event_score=0.43, earnings_outlook_score=0.77, price_setup_score=0.46",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; weak technical trend, solid fundamentals, positive news tone, category trend weak (score 0.07, regime bullish)",DAILY_TRADING
PYPL,44.67,bullish,0.5325,-0.6138,0.0987,35,0.0,-0.04,-0.659,0.0402,HOLD,NO_OPTION,NEXT_MARKET_OPEN,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=41795571712,avg_vol=23797655,price=44.67,vol20=2.11%,beta=1.46) | PE=8.3, margin=0.16, ROE=0.26, rev_growth=0.04, debt_to_equity=60.7 | sma20=45.30, sma50=46.38, sma200=62.16, mom20=-3.69%, rsi14=48.6, vol20=2.11% | headline_sentiment=0.25 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=35, earnings_event_score=0.00, earnings_outlook_score=0.62, price_setup_score=0.55",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; weak technical trend, solid fundamentals, positive news tone, category trend weak (score 0.04, regime bullish)",DAILY_TRADING
MA,494.0,bullish,0.3972,-0.5535,-0.1254,8,0.4846,-0.04,-0.659,0.0308,HOLD,NO_OPTION,NEXT_MARKET_OPEN,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=440864210944,avg_vol=3793413,price=494.00,vol20=1.49%,beta=0.84) | PE=29.9, margin=0.46, ROE=2.10, rev_growth=0.18, debt_to_equity=256.0 | sma20=504.90, sma50=519.57, sma200=554.13, mom20=-5.78%, rsi14=39.0, vol20=1.49% | headline_sentiment=-0.31 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=8, earnings_event_score=0.48, earnings_outlook_score=1.00, price_setup_score=0.43",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; weak technical trend, solid fundamentals, negative news tone, category trend weak, earnings catalyst in 8d (score 0.03, regime bullish)",DAILY_TRADING
