symbol,price,market_regime,fundamental_score,technical_score,news_score,upcoming_earnings_days,earnings_event_score,market_trend_score,category_trend_score,total_score,action_stock,action_option,execution_timing,entry_price,target_price,stop_price,risk_reward,option_symbol_hint,option_expiry,option_strike,reason,trade_type,stock_instruction,option_instruction,brief_reason,strategy_bucket
XOM,172.83,bullish,0.2839,1.0756,0.0909,31,0.0,-0.0112,1.0,0.7899,BUY_STOCK,NO_OPTION,NOW,172.3115,180.5044,167.3958,1.667,,,0.0,"gate(mcap=720141746176,avg_vol=22025426,price=172.83,vol20=1.40%,beta=0.35) | PE=25.8, margin=0.09, ROE=0.11, rev_growth=-0.01, debt_to_equity=18.9 | sma20=157.70, sma50=149.77, sma200=123.02, mom20=13.83%, rsi14=89.4, vol20=1.40% | headline_sentiment=0.23 weighted from 20 headlines | earnings_days=31, earnings_event_score=0.00, earnings_outlook_score=0.15, price_setup_score=0.50",STOCK_ONLY,"BUY STOCK @ 172.31, SELL @ 180.50, STOP @ 167.40",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, positive news tone, category trend supportive (score 0.79, regime bullish)",DAILY_TRADING
CVX,212.35,bullish,0.1332,1.1,-0.0299,31,0.0,-0.0112,1.0,0.7224,BUY_STOCK,NO_OPTION,NOW,211.713,220.4244,206.4861,1.667,,,0.0,"gate(mcap=424562753536,avg_vol=12953808,price=212.35,vol20=1.26%,beta=0.66) | PE=32.0, margin=0.07, ROE=0.07, rev_growth=-0.08, debt_to_equity=24.3 | sma20=198.05, sma50=186.11, sma200=161.63, mom20=12.49%, rsi14=94.0, vol20=1.26% | headline_sentiment=-0.07 weighted from 20 headlines | earnings_days=31, earnings_event_score=0.00, earnings_outlook_score=0.17, price_setup_score=0.55",STOCK_ONLY,"BUY STOCK @ 211.71, SELL @ 220.42, STOP @ 206.49",NO OPTIONS TRADE,"bullish setup; strong technical trend, category trend supportive (score 0.72, regime bullish)",DAILY_TRADING
VZ,50.65,bullish,0.2345,0.543,0.0782,9,0.5449,-0.0112,-0.8275,0.4368,BUY_STOCK,NO_OPTION,NOW,50.4981,52.4638,49.3186,1.667,,,0.0,"gate(mcap=213625716736,avg_vol=32188156,price=50.65,vol20=0.98%,beta=0.28) | PE=12.5, margin=0.12, ROE=0.17, rev_growth=0.02, debt_to_equity=174.8 | sma20=50.62, sma50=47.54, sma200=43.26, mom20=-0.43%, rsi14=49.5, vol20=0.98% | headline_sentiment=0.20 weighted from 20 headlines | earnings_days=9, earnings_event_score=0.54, earnings_outlook_score=0.22, price_setup_score=0.94",STOCK_ONLY,"BUY STOCK @ 50.50, SELL @ 52.46, STOP @ 49.32",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, category trend weak (score 0.44, regime bullish)",DAILY_TRADING
T,29.185,bullish,0.3949,0.4042,-0.0115,22,0.3879,-0.0112,-0.8275,0.4094,BUY_STOCK,NO_OPTION,NOW,29.0974,30.2735,28.3918,1.667,,,0.0,"gate(mcap=204311838720,avg_vol=45586408,price=29.18,vol20=1.46%,beta=0.58) | PE=9.6, margin=0.17, ROE=0.19, rev_growth=0.04, debt_to_equity=124.2 | sma20=28.27, sma50=27.22, sma200=26.88, mom20=1.80%, rsi14=70.6, vol20=1.46% | headline_sentiment=-0.03 weighted from 20 headlines | earnings_days=22, earnings_event_score=0.39, earnings_outlook_score=0.29, price_setup_score=0.78",STOCK_ONLY,"BUY STOCK @ 29.10, SELL @ 30.27, STOP @ 28.39",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, category trend weak (score 0.41, regime bullish)",DAILY_TRADING
PFE,27.41,bullish,0.2473,0.2637,0.0626,35,0.0,-0.0112,-0.7923,0.2622,BUY_STOCK,NO_OPTION,NOW,27.3278,28.5749,26.5795,1.667,,,0.0,"gate(mcap=155917844480,avg_vol=45774528,price=27.41,vol20=1.40%,beta=0.41) | PE=20.2, margin=0.12, ROE=0.09, rev_growth=-0.01, debt_to_equity=78.0 | sma20=27.02, sma50=26.84, sma200=25.40, mom20=3.12%, rsi14=52.9, vol20=1.40% | headline_sentiment=0.16 weighted from 20 headlines | earnings_days=35, earnings_event_score=0.00, earnings_outlook_score=0.22, price_setup_score=0.95",STOCK_ONLY,"BUY STOCK @ 27.33, SELL @ 28.57, STOP @ 26.58",NO OPTIONS TRADE,"bullish setup; solid fundamentals, category trend weak (score 0.26, regime bullish)",DAILY_TRADING
CAT,702.06,bullish,0.2559,0.2263,-0.0153,30,0.2678,-0.0112,-0.8396,0.2602,BUY_STOCK,NO_OPTION,NOW,699.9538,739.9252,675.971,1.667,,,0.0,"gate(mcap=328549761024,avg_vol=2847900,price=702.06,vol20=2.11%,beta=1.53) | PE=37.4, margin=0.13, ROE=0.44, rev_growth=0.18, debt_to_equity=206.7 | sma20=703.39, sma50=707.27, sma200=544.46, mom20=-2.79%, rsi14=43.9, vol20=2.11% | headline_sentiment=-0.04 weighted from 20 headlines | earnings_days=30, earnings_event_score=0.27, earnings_outlook_score=0.45, price_setup_score=0.53",STOCK_ONLY,"BUY STOCK @ 699.95, SELL @ 739.93, STOP @ 675.97",NO OPTIONS TRADE,"bullish setup; solid fundamentals, category trend weak (score 0.26, regime bullish)",DAILY_TRADING
WMT,123.83,bullish,0.1678,0.271,-0.0128,37,0.0,-0.0112,-0.6667,0.2325,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=987222638592,avg_vol=31312283,price=123.83,vol20=1.33%,beta=0.66) | PE=45.4, margin=0.03, ROE=0.22, rev_growth=0.06, debt_to_equity=64.4 | sma20=123.78, sma50=124.15, sma200=108.81, mom20=-3.19%, rsi14=46.6, vol20=1.33% | headline_sentiment=-0.03 weighted from 20 headlines | earnings_days=37, earnings_event_score=0.00, earnings_outlook_score=0.39, price_setup_score=0.55",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; category trend weak (score 0.23, regime bullish)",DAILY_TRADING
KO,75.86,bullish,0.394,0.0077,0.0591,0,0.0,-0.0112,-0.6667,0.2152,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=326513065984,avg_vol=18386836,price=75.86,vol20=0.89%,beta=0.33) | PE=25.0, margin=0.27, ROE=0.43, rev_growth=0.02, debt_to_equity=139.8 | sma20=76.64, sma50=76.78, sma200=71.22, mom20=-4.39%, rsi14=36.0, vol20=0.89% | headline_sentiment=0.15 weighted from 20 headlines | earnings_days=0, earnings_event_score=0.00, earnings_outlook_score=0.45, price_setup_score=0.43",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, category trend weak (score 0.22, regime bullish)",DAILY_TRADING
NFLX,92.66,bullish,0.5513,-0.3219,0.1312,17,0.5417,-0.0112,-0.8275,0.182,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=393053503488,avg_vol=49541866,price=92.66,vol20=1.33%,beta=1.71) | PE=36.6, margin=0.24, ROE=0.43, rev_growth=0.18, debt_to_equity=63.8 | sma20=94.91, sma50=87.57, sma200=107.50, mom20=-5.16%, rsi14=36.0, vol20=1.33% | headline_sentiment=0.33 weighted from 20 headlines | earnings_days=17, earnings_event_score=0.54, earnings_outlook_score=0.95, price_setup_score=0.76",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, positive news tone, category trend weak (score 0.18, regime bullish)",DAILY_TRADING
COST,989.6074,bullish,0.2655,0.0479,0.0418,59,0.0,-0.0112,-0.6667,0.1793,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=439256449024,avg_vol=2223468,price=989.61,vol20=0.95%,beta=0.99) | PE=51.6, margin=0.03, ROE=0.30, rev_growth=0.09, debt_to_equity=26.0 | sma20=989.71, sma50=986.13, sma200=948.21, mom20=-1.80%, rsi14=45.6, vol20=0.95% | headline_sentiment=0.10 weighted from 20 headlines | earnings_days=59, earnings_event_score=0.00, earnings_outlook_score=0.72, price_setup_score=0.91",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, category trend weak (score 0.18, regime bullish)",DAILY_TRADING
