symbol,price,market_regime,fundamental_score,technical_score,news_score,upcoming_earnings_days,earnings_event_score,market_trend_score,category_trend_score,total_score,action_stock,action_option,execution_timing,entry_price,target_price,stop_price,risk_reward,option_symbol_hint,option_expiry,option_strike,reason,trade_type,stock_instruction,option_instruction,brief_reason,strategy_bucket,stock_qty,stock_notional_usd,option_contracts,option_premium_est_usd
XOM,176.365,bullish,0.2804,1.1169,0.0908,31,0.0,-0.04,1.0,0.8036,BUY_STOCK,NO_OPTION,NOW,175.8359,184.4702,170.6553,1.667,,,0.0,"gate(mcap=734871289856,avg_vol=22025426,price=176.37,vol20=1.51%,beta=0.35) | PE=26.3, margin=0.09, ROE=0.11, rev_growth=-0.01, debt_to_equity=18.9 | sma20=157.87, sma50=149.84, sma200=123.03, mom20=16.16%, rsi14=90.4, vol20=1.51% | headline_sentiment=0.23 weighted from 20 headlines | earnings_days=31, earnings_event_score=0.00, earnings_outlook_score=0.15, price_setup_score=0.46",STOCK_ONLY,"BUY 6 SHARES @ 175.84, SELL @ 184.47, STOP @ 170.66",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, positive news tone, category trend supportive (score 0.80, regime bullish)",DAILY_TRADING,6,1055.02,0,0.0
CVX,214.535,bullish,0.131,1.1212,-0.0271,31,0.0,-0.04,1.0,0.728,BUY_STOCK,NO_OPTION,NOW,213.8914,222.7043,208.6037,1.667,,,0.0,"gate(mcap=428931317760,avg_vol=12953808,price=214.54,vol20=1.28%,beta=0.66) | PE=32.4, margin=0.07, ROE=0.07, rev_growth=-0.08, debt_to_equity=24.3 | sma20=198.16, sma50=186.15, sma200=161.64, mom20=13.65%, rsi14=94.4, vol20=1.28% | headline_sentiment=-0.07 weighted from 20 headlines | earnings_days=31, earnings_event_score=0.00, earnings_outlook_score=0.17, price_setup_score=0.53",STOCK_ONLY,"BUY 5 SHARES @ 213.89, SELL @ 222.70, STOP @ 208.60",NO OPTIONS TRADE,"bullish setup; strong technical trend, category trend supportive (score 0.73, regime bullish)",DAILY_TRADING,5,1069.46,0,0.0
VZ,50.655,bullish,0.2345,0.5424,0.078,9,0.5446,-0.04,-0.8609,0.4304,BUY_STOCK,NO_OPTION,NOW,50.503,52.4687,49.3236,1.667,,,0.0,"gate(mcap=213646786560,avg_vol=32188156,price=50.65,vol20=0.98%,beta=0.28) | PE=12.5, margin=0.12, ROE=0.17, rev_growth=0.02, debt_to_equity=174.8 | sma20=50.62, sma50=47.54, sma200=43.26, mom20=-0.44%, rsi14=49.4, vol20=0.98% | headline_sentiment=0.19 weighted from 20 headlines | earnings_days=9, earnings_event_score=0.54, earnings_outlook_score=0.22, price_setup_score=0.94",STOCK_ONLY,"BUY 23 SHARES @ 50.50, SELL @ 52.47, STOP @ 49.32",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, category trend weak (score 0.43, regime bullish)",DAILY_TRADING,23,1161.57,0,0.0
T,29.1,bullish,0.395,0.3913,-0.0115,22,0.3875,-0.04,-0.8609,0.3975,BUY_STOCK,NO_OPTION,NOW,29.0127,30.2223,28.2869,1.667,,,0.0,"gate(mcap=203751784448,avg_vol=45586408,price=29.10,vol20=1.46%,beta=0.58) | PE=9.6, margin=0.17, ROE=0.19, rev_growth=0.04, debt_to_equity=124.2 | sma20=28.27, sma50=27.21, sma200=26.88, mom20=1.50%, rsi14=69.9, vol20=1.46% | headline_sentiment=-0.03 weighted from 20 headlines | earnings_days=22, earnings_event_score=0.39, earnings_outlook_score=0.29, price_setup_score=0.79",STOCK_ONLY,"BUY 41 SHARES @ 29.01, SELL @ 30.22, STOP @ 28.29",NO OPTIONS TRADE,"bullish setup; solid fundamentals, category trend weak (score 0.40, regime bullish)",DAILY_TRADING,41,1189.52,0,0.0
PFE,27.3701,bullish,0.2475,0.2565,0.0576,35,0.0,-0.04,-0.8084,0.2536,BUY_STOCK,NO_OPTION,NOW,27.288,28.5351,26.5397,1.667,,,0.0,"gate(mcap=155690876928,avg_vol=45774528,price=27.37,vol20=1.40%,beta=0.41) | PE=20.1, margin=0.12, ROE=0.09, rev_growth=-0.01, debt_to_equity=78.0 | sma20=27.02, sma50=26.84, sma200=25.40, mom20=2.97%, rsi14=52.5, vol20=1.40% | headline_sentiment=0.14 weighted from 20 headlines | earnings_days=35, earnings_event_score=0.00, earnings_outlook_score=0.22, price_setup_score=0.95",STOCK_ONLY,"BUY 43 SHARES @ 27.29, SELL @ 28.54, STOP @ 26.54",NO OPTIONS TRADE,"bullish setup; solid fundamentals, category trend weak (score 0.25, regime bullish)",DAILY_TRADING,43,1173.38,0,0.0
WMT,124.08,bullish,0.1672,0.2815,-0.0127,37,0.0,-0.04,-0.685,0.2321,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=989215719424,avg_vol=31312283,price=124.08,vol20=1.34%,beta=0.66) | PE=45.5, margin=0.03, ROE=0.22, rev_growth=0.06, debt_to_equity=64.4 | sma20=123.79, sma50=124.16, sma200=108.81, mom20=-2.99%, rsi14=47.3, vol20=1.34% | headline_sentiment=-0.03 weighted from 20 headlines | earnings_days=37, earnings_event_score=0.00, earnings_outlook_score=0.39, price_setup_score=0.56",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; category trend weak (score 0.23, regime bullish)",DAILY_TRADING,0,0.0,0,0.0
KO,76.165,bullish,0.3933,0.0408,0.0332,0,0.0,-0.04,-0.685,0.221,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=327825817600,avg_vol=18386836,price=76.17,vol20=0.91%,beta=0.33) | PE=25.1, margin=0.27, ROE=0.43, rev_growth=0.02, debt_to_equity=139.8 | sma20=76.65, sma50=76.79, sma200=71.22, mom20=-4.00%, rsi14=38.6, vol20=0.91% | headline_sentiment=0.08 weighted from 20 headlines | earnings_days=0, earnings_event_score=0.00, earnings_outlook_score=0.45, price_setup_score=0.46",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, category trend weak (score 0.22, regime bullish)",DAILY_TRADING,0,0.0,0,0.0
NFLX,93.39,bullish,0.5493,-0.2896,0.164,17,0.5555,-0.04,-0.8609,0.1959,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=396150046720,avg_vol=49541866,price=93.39,vol20=1.33%,beta=1.71) | PE=36.9, margin=0.24, ROE=0.43, rev_growth=0.18, debt_to_equity=63.8 | sma20=94.94, sma50=87.58, sma200=107.50, mom20=-4.41%, rsi14=37.8, vol20=1.33% | headline_sentiment=0.41 weighted from 20 headlines | earnings_days=17, earnings_event_score=0.56, earnings_outlook_score=0.95, price_setup_score=0.79",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, positive news tone, category trend weak (score 0.20, regime bullish)",DAILY_TRADING,0,0.0,0,0.0
CAT,683.8,bullish,0.2624,0.1085,-0.0139,30,0.2394,-0.04,-0.9731,0.193,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=320004423680,avg_vol=2847900,price=683.80,vol20=2.11%,beta=1.53) | PE=36.4, margin=0.13, ROE=0.44, rev_growth=0.18, debt_to_equity=206.7 | sma20=702.48, sma50=706.90, sma200=544.37, mom20=-5.31%, rsi14=36.9, vol20=2.11% | headline_sentiment=-0.03 weighted from 20 headlines | earnings_days=30, earnings_event_score=0.24, earnings_outlook_score=0.45, price_setup_score=0.40",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, category trend weak (score 0.19, regime bullish)",DAILY_TRADING,0,0.0,0,0.0
COST,994.205,bullish,0.2639,0.0833,0.0419,59,0.0,-0.04,-0.685,0.1897,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=441297207296,avg_vol=2223468,price=994.21,vol20=0.97%,beta=0.99) | PE=51.8, margin=0.03, ROE=0.30, rev_growth=0.09, debt_to_equity=26.0 | sma20=989.94, sma50=986.22, sma200=948.24, mom20=-1.35%, rsi14=48.3, vol20=0.97% | headline_sentiment=0.10 weighted from 20 headlines | earnings_days=59, earnings_event_score=0.00, earnings_outlook_score=0.72, price_setup_score=0.92",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, category trend weak (score 0.19, regime bullish)",DAILY_TRADING,0,0.0,0,0.0
